School Name,URL,State,Address,Latitude,Longitude
Sandhills Community College,http://sandhills.edu,NC,"3395 Airport Rd, Pinehurst, NC 28374, USA",35.2210696,-79.4078772
Saint Andrews University,http://sapc.edu,NC,"1700 Dogwood Mile St, Laurinburg, NC 28352, USA",34.7401201,-79.4811544
Southeastern Community College,http://sccnc.edu,NC,"1500 W Agency Rd, West Burlington, IA 52655, USA",40.8151845,-91.1730852
Southeastern Baptist Theological Seminary,http://sebts.edu,NC,"Stealey Hall - Main Administration Building, 100 N Wingate St, Wake Forest, NC 27587, USA",35.9813678,-78.5123754
Shaw University,http://shawu.edu,NC,"118 E South St, Raleigh, NC 27601, USA",35.7717577,-78.6373526
Southwestern Community College,http://southwesterncc.edu,NC,"900 Otay Lakes Rd, Chula Vista, CA 91910, USA",32.6427876,-116.9992869
South Piedmont Community College,http://spcc.edu,NC,"680 US-74, Polkton, NC 28135, USA",35.000325,-80.2111728
Stanly Community College,http://stanly.edu,NC,"141 College Dr, Albemarle, NC 28001, USA",35.3394123,-80.2362266
Saint Augustine's University,http://st-aug.edu,NC,"1315 OAKWOOD AVE, RALEIGH, NC 27610",35.7862333,-78.621875
University of North Carolina at Chapel Hill,http://unc.edu,NC,"Chapel Hill, NC, USA",35.9131996,-79.0558445
University of North Carolina Asheville,http://unca.edu,NC,"1 University Heights, Asheville, NC 28804, USA",35.6170056,-82.5654125
University of North Carolina Charlotte,http://uncc.edu,NC,"9201 University City Blvd, Charlotte, NC 28223, USA",35.3056522,-80.7320316
University of North Carolina Greensboro,http://uncg.edu,NC,"1400 Spring Garden St, Greensboro, NC 27412, USA",36.0655864,-79.8130382
University of North Carolina Pembroke,http://uncp.edu,NC,"1 University Drive, Pembroke, NC 28372, USA",34.6910291,-79.2006534
University of North Carolina School of the Arts,http://uncsa.edu,NC,"1533 S Main St, Winston-Salem, NC 27127, USA",36.0760867,-80.2355295
University of North Carolina Wilmington,http://uncw.edu,NC,"601 College Rd, Wilmington, NC 28403, USA",34.2266437,-77.878762
Vance-Granville Community College,http://vgcc.edu,NC,"200 Community College Rd, Henderson, NC 27536, USA",36.3234425,-78.4872706
Wake Technical Community College,http://waketech.edu,NC,"9101 Fayetteville Rd, Raleigh, NC 27603, USA",35.6509102,-78.7040119
Warren Wilson College,http://warren-wilson.edu,NC,"701 Warren Wilson Rd, Swannanoa, NC 28778, USA",35.6138601,-82.4388616
Western Carolina University,http://wcu.edu,NC,"1 University Dr, Cullowhee, NC 28723, USA",35.3092109,-83.1855823
Wake Forest University,http://wfu.edu,NC,"1834 Wake Forest Rd, Winston-Salem, NC 27109, USA",36.1372087,-80.2748648
Western Piedmont Community College,http://wpcc.edu,NC,"1001 Burkemont Ave, Morganton, NC 28655, USA",35.7235302,-81.6883757
Winston-Salem State University,http://wssu.edu,NC,"601 S Martin Luther King Jr Dr, Winston-Salem, NC 27110, USA",36.0891542,-80.2281666
Atlantic Cape Community College,http://atlantic.edu,NJ,"5100 Black Horse Pike, Mays Landing, NJ 08330, USA",39.4606358,-74.6796745
Burlington County College,http://bcc.edu,NJ,"900 College Cir, Mt Laurel Township, NJ 08054, USA",39.9721738,-74.8943408
Bergen Community College,http://bergen.edu,NJ,"400 Paramus Rd, Paramus, NJ 07652, USA",40.9516768,-74.09384
Brookdale Community College,http://brookdalecc.edu,NJ,"765 Newman Springs Rd, Lincroft, NJ 07738, USA",40.3270495,-74.1339973
Centenary College of New Jersey,http://centenarycollege.edu,NJ,"400 Jefferson St, Hackettstown, NJ 07840, USA",40.8490128,-74.8328933
